product_name,brands,nutriscore_grade,nova_group,energy-kcal_100g,sugars_100g,sodium_100g,saturated-fat_100g,fat_100g,carbohydrates_100g,proteins_100g,fiber_100g,additives_n,url,pnns_groups_1,pnns_groups_2,ID_Match
Colágeno 100% hidrolizado,Gelicart,unknown,,360.0,,0.2,,0.0,0.0,90.0,,,http://world-en.openfoodfacts.org/product/7501165007956/colageno-100-hidrolizado-gelicart,unknown,unknown,COLÁGENO 100% HIDROLIZADO | GELICART
Colageno Hidrolizado,Gelicart,unknown,,360.0,,0.25,0.0,0.0,0.0,90.0,0.0,,http://world-en.openfoodfacts.org/product/7501165010819/colageno-hidrolizado-gelicart,unknown,unknown,COLAGENO HIDROLIZADO | GELICART
"Leche Semidescremada, Pasteurizada, Adicionada Con Vitaminas A y D",Star Milk Premium,unknown,,45.5,5.0,,,1.6,5.0,3.0,,,http://world-en.openfoodfacts.org/product/7501173401036/leche-semidescremada-pasteurizada-adicionada-con-vitaminas-a-y-d-star-milk-premium,unknown,unknown,"LECHE SEMIDESCREMADA, PASTEURIZADA, ADICIONADA CON VITAMINAS A Y D | STAR MILK PREMIUM"
Chocolate Milk,Star Mill,unknown,,73.5,12.0,0.06,1.0,1.5,12.0,3.0,,,http://world-en.openfoodfacts.org/product/7501173401142/chocolate-milk-star-mill,unknown,unknown,CHOCOLATE MILK | STAR MILL
Whole Milk,Star Milk,unknown,,59.0,5.0,0.05,2.0,3.0,5.0,3.0,0.0,,http://world-en.openfoodfacts.org/product/7501173401173/whole-milk-star-milk,unknown,unknown,WHOLE MILK | STAR MILK
Chorizo Estilo Sinaloa,Kowi,unknown,,311.2,,,,24.92,10.45,11.28,,,http://world-en.openfoodfacts.org/product/7501175100067/chorizo-estilo-sinaloa-kowi,unknown,unknown,CHORIZO ESTILO SINALOA | KOWI
Tocino ahumado en trocitos,Kowi,unknown,,227.990005493164,1.12999999523163,,7.30999994277954,17.3500003814697,,17.9599990844727,,,http://world-en.openfoodfacts.org/product/7501175100463/tocino-ahumado-en-trocitos-kowi,unknown,unknown,TOCINO AHUMADO EN TROCITOS | KOWI
Bistec De Pulpa,Kowi,unknown,,140.0,,0.0434,,0.18,0.02,34.0,0.0,,http://world-en.openfoodfacts.org/product/7501175100852/bistec-de-pulpa-kowi,unknown,unknown,BISTEC DE PULPA | KOWI
Carne Al Pastor,El Tizoncito,unknown,,241.5,0.0,0.553,5.6,14.26,0.0,28.29,0.0,,http://world-en.openfoodfacts.org/product/7501175100876/carne-al-pastor-el-tizoncito,unknown,unknown,CARNE AL PASTOR | EL TIZONCITO
Chilorio,Kowi,unknown,,,,,,,,,,,http://world-en.openfoodfacts.org/product/7501175199573/chilorio-kowi,unknown,unknown,CHILORIO | KOWI
Milk Chocolate,Vaquita,unknown,,552.0,,,,32.0,63.0,3.0,,,http://world-en.openfoodfacts.org/product/7501176410905/milk-chocolate-vaquita,unknown,unknown,MILK CHOCOLATE | VAQUITA
